id, palette, k, r, g, b, hue, sat, lum
0x000b56a10d, Normal, 11, 86, 161, 13, 90.40540540540539, 0.850574712643678, 0.3411764705882353
0x000b5d20a5, Normal, 11, 93, 32, 165, 267.51879699248116, 0.6751269035532995, 0.3862745098039216
0x000b5feb6c, Normal, 11, 95, 235, 108, 125.57142857142858, 0.7777777777777776, 0.6470588235294117
0x000b64e045, Normal, 11, 100, 224, 69, 108, 0.7142857142857143, 0.5745098039215686
0x000b67053d, Normal, 11, 103, 5, 61, 325.7142857142857, 0.9074074074074073, 0.21176470588235294
0x000b679bce, Normal, 11, 103, 155, 206, 209.70873786407768, 0.5124378109452737, 0.6058823529411765
0x000b6a09cb, Normal, 11, 106, 9, 203, 270, 0.9150943396226415, 0.4156862745098039
0x000b6c3c19, Normal, 11, 108, 60, 25, 25.30120481927711, 0.6240601503759399, 0.2607843137254902
0x000b6ed748, Normal, 11, 110, 215, 72, 104.05594405594405, 0.6412556053811659, 0.5627450980392157
0x000b6f5a7a, Normal, 11, 111, 90, 122, 279.375, 0.1509433962264151, 0.41568627450980394
0x000b75a16f, Normal, 11, 117, 161, 111, 112.80000000000001, 0.21008403361344535, 0.5333333333333333
0x000b75f2ff, Normal, 11, 117, 242, 255, 185.65217391304347, 1, 0.7294117647058823
0x000b7604cb, Normal, 11, 118, 4, 203, 274.37185929648246, 0.9613526570048307, 0.40588235294117647
0x000b77cf7a, Normal, 11, 119, 207, 122, 122.04545454545455, 0.4782608695652173, 0.6392156862745098
0x000b78bdfa, Normal, 11, 120, 189, 250, 208.15384615384616, 0.9285714285714284, 0.7254901960784313
0x000b798888, Normal, 11, 121, 136, 136, 180, 0.059288537549407126, 0.503921568627451
0x000b7cfaa7, Normal, 11, 124, 250, 167, 140.47619047619048, 0.9264705882352938, 0.7333333333333333
0x000b7f4b77, Normal, 11, 127, 75, 119, 309.2307692307692, 0.2574257425742574, 0.39607843137254906
0x000b818a87, Normal, 11, 129, 138, 135, 160.00000000000006, 0.037037037037037014, 0.5235294117647058
0x000b88e1cf, Normal, 11, 136, 225, 207, 167.86516853932585, 0.5973154362416105, 0.7078431372549019
0x000b88fb00, Normal, 11, 136, 251, 0, 87.49003984063745, 1, 0.492156862745098
0x000b8ea964, Normal, 11, 142, 169, 100, 83.47826086956522, 0.2863070539419087, 0.5274509803921569
0x000b90d6fc, Normal, 11, 144, 214, 252, 201.11111111111111, 0.9473684210526317, 0.7764705882352941
0x000b9773b2, Normal, 11, 151, 115, 178, 274.2857142857143, 0.2903225806451612, 0.5745098039215686
0x000b9fc599, Normal, 11, 159, 197, 153, 111.81818181818181, 0.2750000000000001, 0.6862745098039216
0x000ba2c6e3, Normal, 11, 162, 198, 227, 206.76923076923075, 0.537190082644628, 0.7627450980392156
0x000ba6a63d, Normal, 11, 166, 166, 61, 60, 0.4625550660792951, 0.4450980392156863
0x000ba83395, Normal, 11, 168, 51, 149, 309.7435897435897, 0.5342465753424657, 0.4294117647058824
0x000ba87b69, Normal, 11, 168, 123, 105, 17.14285714285715, 0.2658227848101266, 0.5352941176470588
0x000ba88be2, Normal, 11, 168, 139, 226, 260, 0.5999999999999998, 0.7156862745098038
0x000ba926da, Normal, 11, 169, 38, 218, 283.6666666666667, 0.7086614173228346, 0.5019607843137255
0x000bb6fcdd, Normal, 11, 182, 252, 221, 153.42857142857142, 0.921052631578948, 0.8509803921568628
0x000bb91a2f, Normal, 11, 185, 26, 47, 352.07547169811323, 0.7535545023696683, 0.4137254901960784
0x000bba8355, Normal, 11, 186, 131, 85, 27.326732673267323, 0.4225941422594142, 0.5313725490196078
0x000bbb51a8, Normal, 11, 187, 81, 168, 310.75471698113205, 0.4380165289256197, 0.5254901960784313
0x000bbc9e51, Normal, 11, 188, 158, 81, 43.177570093457945, 0.44398340248962664, 0.5274509803921569
